name,start,end,description,image
Ada Lovelace,1815-12-10,1852-11-27,English mathematician who wrote notes on Babbage's Analytical Engine and is often credited with the first algorithm intended to be carried out by a machine.,https://upload.wikimedia.org/wikipedia/commons/a/a4/Ada_Lovelace_portrait.jpg
Alan Turing,1912-06-23,1954-06-07,British mathematician and logician; founding figure in theoretical computer science and artificial intelligence; led cryptanalysis work at Bletchley Park during WWII.,https://images.squarespace-cdn.com/content/v1/656f4639c770ec629203bdbe/8dfbb04b-5d2e-469d-aa79-04dc99a5f6cf/alan-turing-and-turing-machine.jpg
Grace Hopper,1906-12-09,1992-01-01,"American computer scientist and U.S. Navy rear admiral; pioneer of programming languages and compiler development, and influential in the creation and adoption of COBOL.",https://commons.wikimedia.org/wiki/File:Grace_Hopper.jpg
Linus Torvals,1969-12-28,,Linus Benedict Torvalds[a] (born 28 December 1969) is a Finnish and American software engineer who is the creator and lead developer of the Linux kernel. He also created the distributed version control system Git. ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Linus-Torvalds_IEEE_Ibuka_Award_2018.jpg/500px-Linus-Torvalds_IEEE_Ibuka_Award_2018.jpg
